time,motion,distance
1683463794.0281153,0,335.39
1683463795.1322718,1,334.97
1683463796.5309906,0,337.50
1683463797.65166,0,335.80
1683463798.9450035,0,336.63
1683463800.1701367,0,335.43
1683463801.2821426,0,335.39
1683463802.4322736,0,336.67
1683463803.5709999,0,335.38
1683463804.6967938,0,335.85
1683463805.8144524,0,334.98
1683463807.1423392,0,336.23
1683463808.378556,0,337.06
1683463809.5437393,0,1187.99
1683463810.847591,0,335.39
1683463811.9980836,1,335.83
1683463813.482726,0,336.24
1683463814.6990473,0,337.94
1683463816.3552237,0,337.89
1683463817.5804412,0,336.23
1683463818.825991,0,336.24
1683463820.343001,0,335.82
1683463821.6990867,0,334.98
1683463822.9020991,0,335.80
1683463824.1310863,0,337.52
1683463825.3602314,0,335.80
1683463826.923135,0,335.41
1683463828.8728333,0,336.24
1683463830.701765,0,335.83
1683463832.3226755,0,335.39
1683463833.5530932,0,336.24
1683463834.6696637,0,335.82
1683463836.0112066,0,334.97
1683463837.2372398,0,336.24
1683463838.4673014,0,337.09
1683463839.6972616,0,335.83
1683463840.9239244,0,335.80
1683463842.060089,0,334.98
1683463843.2804086,0,336.26
1683463844.6108747,0,337.09
1683463845.7278206,1,336.63
1683463847.068869,0,335.77
1683463848.183903,0,335.83
1683463849.2954595,0,337.93
1683463850.5549266,0,336.24
1683463851.6654205,0,335.83
1683463852.801789,0,335.85
1683463853.9130123,0,336.65
1683463855.0625415,1,335.78
1683463856.28363,0,335.38
1683463857.4028244,1,335.83
1683463858.5759962,0,1188.10
1683463859.9705007,0,337.93
1683463861.2559114,0,336.24
1683463862.3765738,0,335.83
1683463863.663832,0,337.50
1683463864.892936,0,337.09
1683463866.0161943,0,336.24
1683463867.1692748,0,336.67
1683463868.3681302,0,336.63
1683463869.4763994,0,335.39
1683463870.6247559,0,335.38
1683463871.8498652,0,337.48
1683463872.9626732,0,336.63
1683463874.0747118,0,335.41
1683463875.3298833,0,336.26
1683463876.5772717,0,335.83
1683463877.7879417,0,337.94
1683463878.8927078,0,337.08
1683463880.0080595,0,336.24
1683463881.3688958,0,336.67
1683463882.704246,0,339.18
1683463883.9316318,0,337.08
1683463885.2473779,0,336.24
1683463886.5952177,0,335.83
1683463887.7160013,0,335.82
1683463889.0515504,0,337.94
1683463890.2800906,0,337.09
1683463891.508687,0,336.67
1683463893.0530596,0,335.80
